id,joint_position,ball_loc
46,[ 1.072514   3.2197755  2.5974297  0.342426   0.7928462 -0.8628069 -0.3490791],[ 1.217201 -0.11543   0.406917]
47,[ 1.075541   3.2197681  2.5974557  0.3424322  0.7929466 -0.8628225 -0.349089 ],[ 1.217072 -0.115078  0.406926]
48,[ 1.0902768  3.2197407  2.5974519  0.3423894  0.7929268 -0.8627854 -0.3491383],[ 1.216294 -0.112905  0.406899]
49,[ 1.0933055  3.2197583  2.5974433  0.3424847  0.7928815 -0.8627776 -0.349089 ],[ 1.216159 -0.112555  0.406914]
50,[ 1.1053434  3.2197722  2.5973859  0.3424054  0.792907  -0.8627641 -0.349072 ],[ 1.2155   -0.110654  0.406782]
51,[ 1.1083169  3.2197245  2.5974398  0.3424317  0.7929762 -0.862807  -0.3490571],[ 1.2155   -0.110654  0.406782]
52,[ 1.1206078  3.2197364  2.5974417  0.3424418  0.7929424 -0.8627598 -0.3491183],[ 1.214653 -0.10841   0.406767]
53,[ 1.1235738  3.219708   2.5974533  0.3424047  0.7929312 -0.8627915 -0.3490576],[ 1.214518 -0.108054  0.40678 ]
54,[ 1.1354573  3.2197128  2.5974607  0.3424475  0.7929136 -0.8627781 -0.3490859],[ 1.213757 -0.106233  0.406775]
55,[ 1.1384201  3.2197307  2.5974018  0.3424282  0.7928972 -0.8627728 -0.3490565],[ 1.213614 -0.105828  0.406661]
56,[ 1.149901   3.2197261  2.5973787  0.3424645  0.792905  -0.8627623 -0.3491091],[ 1.212895 -0.104099  0.406642]
57,[ 1.15283    3.2197497  2.5974133  0.3424469  0.7928719 -0.8628281 -0.3490784],[ 1.212734 -0.103756  0.406657]
58,[ 1.1645514  3.2197984  2.5974438  0.3424574  0.79292   -0.8627759 -0.3490863],[ 1.211978 -0.101994  0.406614]
59,[ 1.1675391  3.2197488  2.5974436  0.342443   0.7929283 -0.8627571 -0.3490512],[ 1.211824 -0.10166   0.406634]
60,[ 1.179821   3.2197564  2.5974224  0.3424391  0.7929078 -0.8627879 -0.3490545],[ 1.210977 -0.099817  0.40661 ]
61,[ 1.1829909  3.2197331  2.5974169  0.3424146  0.7929473 -0.8627777 -0.3491043],[ 1.210807 -0.099429  0.406564]
62,[ 1.1953878  3.2197433  2.59741    0.3424156  0.7929248 -0.8628091 -0.3490945],[ 1.20995  -0.097591  0.406514]
63,[ 1.1984115  3.2197564  2.5974319  0.3424367  0.7929455 -0.8627536 -0.3490955],[ 1.209785 -0.09722   0.406508]
