id,joint_position,ball_loc
0,[-1.8153437  1.7076471  1.8288794  0.6350115  1.8437445 -0.083481  -0.3152061],[ 0.692241 -0.542323  0.2894  ]
1,[-1.815409   1.7075938  1.8289504  0.6349269  1.8437712 -0.0834398 -0.315227 ],[ 0.692241 -0.542325  0.289396]
2,[-1.8153985  1.707648   1.8289105  0.6349283  1.8436896 -0.0834306 -0.3151645],[ 0.69225  -0.542334  0.289402]
3,[-1.8153704  1.7076169  1.8289276  0.6349556  1.8436819 -0.0835261 -0.3152206],[ 0.692247 -0.542334  0.289403]
4,[-1.8154085  1.7076229  1.8288969  0.6349564  1.8436992 -0.0834623 -0.3151986],[ 0.692237 -0.542331  0.289393]
5,[-1.8153656  1.7076637  1.8289046  0.6349312  1.8436822 -0.0835212 -0.315213 ],[ 0.692242 -0.542338  0.289407]
6,[-1.8153589  1.7076266  1.8289334  0.6349779  1.8437104 -0.0834312 -0.3151999],[ 0.692242 -0.542338  0.289405]
7,[-1.8154109  1.7075477  1.8289156  0.634963   1.8436646 -0.0834792 -0.3152601],[ 0.692241 -0.542339  0.289403]
8,[-1.8153761  1.7075884  1.8289219  0.6349316  1.8436302 -0.0834273 -0.3152668],[ 0.692245 -0.542341  0.289412]
9,[-1.8154162  1.7075795  1.8288922  0.6349396  1.8436453 -0.0834909 -0.3152041],[ 0.692261 -0.542358  0.289398]
10,[-1.8153356  1.7076306  1.8288987  0.6349841  1.8435725 -0.083541  -0.3152107],[ 0.692264 -0.542361  0.2894  ]
11,[-1.8153794  1.7075849  1.8288879  0.6349738  1.8435984 -0.0834753 -0.3152682],[ 0.692247 -0.542345  0.289413]
12,[-1.8153647  1.7075926  1.828861   0.6349353  1.8436207 -0.083481  -0.3152173],[ 0.692248 -0.542346  0.289413]
13,[-1.8153713  1.7075747  1.8289055  0.6349779  1.8436257 -0.0834972 -0.3152078],[ 0.692273 -0.542366  0.289396]
14,[-1.815409   1.7075931  1.8288749  0.6350139  1.8436184 -0.0834634 -0.3152494],[ 0.692255 -0.542352  0.289412]
15,[-1.8153785  1.7076801  1.828878   0.6349749  1.8436025 -0.0834732 -0.3152145],[ 0.692259 -0.542355  0.289411]
16,[-1.8153589  1.7076432  1.8289356  0.6350164  1.8435872 -0.0834621 -0.3152427],[ 0.69228  -0.54238   0.289401]
17,[-1.8153828  1.7075644  1.8289334  0.6349847  1.8435823 -0.0834535 -0.315224 ],[ 0.69226  -0.542365  0.289419]
18,[-1.8153866  1.7076247  1.8289438  0.6349824  1.8435353 -0.0834942 -0.3152085],[ 0.692272 -0.542378  0.2894  ]
19,[-1.8153814  1.7076528  1.8288797  0.6349034  1.8435613 -0.0834672 -0.3152213],[ 0.69227  -0.542376  0.289403]
20,[-1.8153728  1.7076285  1.8289268  0.6349773  1.8435593 -0.0834256 -0.3152072],[ 0.69227  -0.54238   0.289399]
21,[-1.8154014  1.7075889  1.8289208  0.6349704  1.8435178 -0.0835149 -0.3152323],[ 0.69227  -0.54238   0.289405]
22,[-1.8153432  1.7075678  1.8288894  0.635001   1.8434733 -0.0835062 -0.3151969],[ 0.692274 -0.542389  0.289412]
23,[-1.8153237  1.7076632  1.8288655  0.6350051  1.8434981 -0.0834951 -0.3152258],[ 0.692275 -0.54239   0.28941 ]
24,[-1.8153971  1.7076122  1.8288811  0.6349815  1.8435204 -0.0834935 -0.31524  ],[ 0.692275 -0.542393  0.289406]
25,[-1.815388   1.7075999  1.8289459  0.6349384  1.8434558 -0.0834923 -0.3152382],[ 0.692276 -0.542391  0.289405]
26,[-1.8154214  1.7076     1.8289287  0.6350147  1.8435518 -0.0834422 -0.3152247],[ 0.692276 -0.542389  0.289407]
27,[-1.8153394  1.7075708  1.8288649  0.6349413  1.8434687 -0.0834882 -0.3151965],[ 0.692276 -0.542389  0.289406]
