id,joint_position,ball_loc
47,[ 0.8297197  2.8160391  2.8392106  3.465749   1.1910826  0.0397612 -0.1618438],[ 1.047653 -0.432271  0.360738]
48,[ 0.8328092  2.8160546  2.8392171  3.4657228  1.1910879  0.0397189 -0.1618727],[ 1.048298 -0.432246  0.360819]
49,[ 0.8356825  2.8160568  2.8392526  3.465738   1.1911471  0.0396868 -0.1618358],[ 1.04902  -0.432399  0.36074 ]
50,[ 0.8476799  2.8160856  2.8392452  3.465702   1.1911239  0.0396622 -0.1619617],[ 1.052292 -0.432628  0.360748]
51,[ 0.8598762  2.8160394  2.8392533  3.4656517  1.1911206  0.0396391 -0.1618378],[ 1.055792 -0.432843  0.360777]
52,[ 0.8629946  2.8160356  2.8391927  3.4657156  1.1911168  0.0396846 -0.161818 ],[ 1.056475 -0.432894  0.360772]
53,[ 0.8659497  2.8160706  2.8392581  3.4656777  1.1911191  0.0396681 -0.1618147],[ 1.057169 -0.432908  0.360792]
54,[ 0.8751724  2.8160782  2.8392206  3.4657228  1.1910775  0.0396917 -0.1618222],[ 1.059864 -0.433051  0.360864]
55,[ 0.8780843  2.8160704  2.8392523  3.4657571  1.191085   0.0397418 -0.1618012],[ 1.060445 -0.432886  0.36103 ]
56,[ 0.8810539  2.8161099  2.8392693  3.4657039  1.1910945  0.0396593 -0.1618493],[ 1.061161 -0.433004  0.360956]
57,[ 0.8897259  2.8160582  2.8391927  3.4657087  1.1911443  0.039699  -0.1617706],[ 1.06382  -0.433125  0.36097 ]
58,[ 0.8925302  2.815986   2.83926    3.4657142  1.1911533  0.0396755 -0.1619063],[ 1.064455 -0.433155  0.360968]
59,[ 0.8954354  2.8160427  2.8392087  3.4657101  1.1910742  0.0396863 -0.1618185],[ 1.065026 -0.433145  0.360983]
60,[ 0.9041381  2.8160491  2.8392039  3.4657521  1.1910859  0.0396906 -0.1618328],[ 1.067613 -0.433166  0.360999]
