id,joint_position,ball_loc
47,[-2.2379349  1.5988607  2.0495245  0.3420229  1.9796635  0.0339418 -0.158231 ],[ 0.650019 -0.262175  0.078125]
48,[-2.2378905  1.5988556  2.0495989  0.3419943  1.9795631  0.0339791 -0.1582066],[ 0.65002  -0.262168  0.078121]
49,[-2.2379139  1.5988872  2.0495517  0.3420877  1.9795398  0.0339609 -0.1581938],[ 0.650019 -0.262163  0.078126]
50,[-2.2379606  1.5988995  2.0495615  0.3419027  1.9796103  0.0340147 -0.1581889],[ 0.650021 -0.262166  0.07812 ]
51,[-2.2379058  1.5989244  2.0495336  0.3419924  1.9795626  0.0340509 -0.1582364],[ 0.65002  -0.262166  0.078121]
52,[-2.2379482  1.5988934  2.0495689  0.341938   1.9796044  0.0339858 -0.1581889],[ 0.650022 -0.262166  0.078119]
53,[-2.2379602  1.5988939  2.0495465  0.3420172  1.9795322  0.0339611 -0.1581414],[ 0.650023 -0.262166  0.078124]
54,[-2.2379025  1.5988283  2.0495133  0.3420124  1.9795825  0.0340124 -0.158204 ],[ 0.650023 -0.262171  0.078122]
55,[-2.2379063  1.5988915  2.049535   0.3420448  1.9795502  0.0340211 -0.158233 ],[ 0.650025 -0.262174  0.078124]
56,[-2.2379187  1.598845   2.0495896  0.3419161  1.9795456  0.0339952 -0.1581852],[ 0.650022 -0.262171  0.078121]
57,[-2.2379473  1.5988992  2.049602   0.3420353  1.979516   0.034005  -0.158176 ],[ 0.650022 -0.262169  0.078119]
58,[-2.2379358  1.5988077  2.0495489  0.3420372  1.9795773  0.0339353 -0.1582074],[ 0.65002  -0.262166  0.078115]
59,[-2.2378686  1.598924   2.0495379  0.3420477  1.979553   0.0339844 -0.1582329],[ 0.650019 -0.262165  0.078114]
60,[-2.2378925  1.5988827  2.049521   0.3420067  1.979597   0.0340057 -0.1581938],[ 0.650018 -0.262168  0.078119]
61,[-2.2378867  1.5989348  2.0495267  0.3419476  1.9796088  0.0340552 -0.1582079],[ 0.650018 -0.262172  0.078119]
