id,joint_position,ball_loc
46,[-2.30367    1.9231024  2.0071572  0.8332223  2.0479824 -0.3100085 -0.1601973],[ 0.608394 -0.234893  0.323898]
47,[-2.3037155  1.9231718  2.0072151  0.8332275  2.0479874 -0.3099936 -0.1601501],[ 0.608394 -0.234895  0.323897]
48,[-2.303695   1.9231428  2.0071922  0.8332016  2.0479295 -0.3100002 -0.1601696],[ 0.608402 -0.234901  0.323896]
49,[-2.3037308  1.9231347  2.0072094  0.8332321  2.0479605 -0.3100032 -0.1602136],[ 0.608389 -0.234909  0.323908]
50,[-2.3037014  1.9231722  2.0071949  0.833268   2.0480165 -0.3099516 -0.1601866],[ 0.60838  -0.234895  0.323896]
51,[-2.3037169  1.9231745  2.0071856  0.8332206  2.0479612 -0.3099483 -0.1601586],[ 0.60838  -0.234896  0.323895]
52,[-2.303705   1.9231515  2.0072023  0.8332536  2.0480218 -0.3100117 -0.1601207],[ 0.608391 -0.234904  0.323903]
53,[-2.3037401  1.9231309  2.0071269  0.8332339  2.0479727 -0.3099514 -0.1602283],[ 0.60839  -0.234903  0.323905]
54,[-2.3037031  1.9231706  2.0071939  0.8332201  2.0479987 -0.3099805 -0.1601601],[ 0.608392 -0.234896  0.323907]
55,[-2.3036778  1.9231688  2.007186   0.8332305  2.0480192 -0.3099357 -0.1601559],[ 0.608394 -0.234896  0.323903]
56,[-2.303694   1.9231459  2.0071901  0.8332481  2.0479941 -0.3099706 -0.1602119],[ 0.608393 -0.234893  0.323896]
57,[-2.3036945  1.9232032  2.0071987  0.8332575  2.0480068 -0.3099703 -0.1601548],[ 0.608392 -0.234895  0.323893]
58,[-2.3037043  1.9231551  2.0071758  0.833275   2.0479421 -0.3099676 -0.1602404],[ 0.60839  -0.234897  0.323893]
59,[-2.3036833  1.9231379  2.0072058  0.8332171  2.0479915 -0.3099926 -0.1601482],[ 0.608393 -0.234903  0.323898]
60,[-2.3037348  1.9231617  2.0071744  0.83323    2.0479688 -0.3099652 -0.1602257],[ 0.608394 -0.234902  0.323897]
61,[-2.3036816  1.9231804  2.0071529  0.8332584  2.0479705 -0.3099298 -0.1602111],[ 0.608393 -0.234898  0.3239  ]
62,[-2.3036506  1.9231755  2.0071992  0.833241   2.047986  -0.3100181 -0.1602232],[ 0.60839  -0.234897  0.323901]
63,[-2.3037174  1.923167   2.0071882  0.8332629  2.0479536 -0.309939  -0.1601458],[ 0.608382 -0.234902  0.323896]
64,[-2.3036902  1.9231149  2.007228   0.8332413  2.0479891 -0.3099352 -0.1602701],[ 0.608382 -0.234901  0.3239  ]
65,[-2.3036895  1.9231403  2.007197   0.8332617  2.0479534 -0.3099248 -0.1601712],[ 0.608383 -0.234902  0.323901]
66,[-2.3037281  1.923147   2.0071648  0.8332513  2.0479762 -0.309932  -0.160111 ],[ 0.608387 -0.234896  0.323899]
67,[-2.3036704  1.9231285  2.0071462  0.8332289  2.0479319 -0.309937  -0.1601797],[ 0.608388 -0.234899  0.323896]
68,[-2.3037224  1.9231624  2.0072056  0.833278   2.0479836 -0.3099815 -0.1601822],[ 0.608396 -0.234904  0.3239  ]
69,[-2.3036967  1.923149   2.0071953  0.833239   2.0479529 -0.3100416 -0.1601657],[ 0.608395 -0.234907  0.323899]
70,[-2.3037062  1.9231652  2.0072001  0.8332137  2.0479343 -0.3100132 -0.1601456],[ 0.608397 -0.234889  0.323894]
71,[-2.3037017  1.923177   2.0072256  0.8332396  2.0480058 -0.3099559 -0.1601045],[ 0.608398 -0.234905  0.323904]
72,[-2.303705   1.9231259  2.0071882  0.8332774  2.047987  -0.3100345 -0.1601753],[ 0.608399 -0.23491   0.323901]
73,[-2.3037215  1.9230427  2.0072955  0.8326065  2.0470731  0.0419536 -0.1601386],[ 0.597751 -0.276694  0.297454]
74,[-2.3035612  1.9229865  2.0072611  0.8325441  2.0470459  0.0419737 -0.1601927],[ 0.597752 -0.276699  0.29747 ]
75,[-2.3036986  1.9229562  2.007285   0.832535   2.0471103  0.0419766 -0.160204 ],[ 0.597751 -0.276699  0.297476]
76,[-2.3036924  1.9230417  2.0072964  0.8326128  2.0470681  0.0419887 -0.1601771],[ 0.597752 -0.276703  0.297476]
77,[-2.3036979  1.9230397  2.0072762  0.8326045  2.0471303  0.0419372 -0.1601576],[ 0.597756 -0.276698  0.297466]
78,[-2.3036971  1.9230786  2.0073053  0.8325719  2.0470402  0.0419952 -0.1601534],[ 0.597756 -0.276697  0.297465]
79,[-2.3036549  1.9229808  2.0073308  0.8325581  2.0470674  0.0419291 -0.1602151],[ 0.597758 -0.276695  0.297459]
80,[-2.303633   1.9230102  2.007332   0.8325619  2.0470934  0.0419734 -0.1601985],[ 0.597755 -0.276695  0.29746 ]
81,[-2.3036435  1.9230128  2.0072747  0.8325755  2.0471074  0.0419354 -0.160157 ],[ 0.597761 -0.276696  0.297462]
82,[-2.3036483  1.9230239  2.0073227  0.8325637  2.0470748  0.0419535 -0.1601832],[ 0.597762 -0.276695  0.297463]
83,[-2.3036516  1.9230233  2.0072912  0.8325641  2.0470836  0.0419569 -0.1601817],[ 0.597762 -0.276692  0.297467]
84,[-2.3036468  1.923044   2.007352   0.8325097  2.0470564  0.041954  -0.1601317],[ 0.597763 -0.276699  0.297464]
85,[-2.303685   1.9230178  2.0072657  0.8325937  2.0470567  0.0419863 -0.1601981],[ 0.597765 -0.276697  0.297466]
86,[-2.3036492  1.922992   2.0072669  0.8325561  2.0470672  0.0419552 -0.1601571],[ 0.597763 -0.276698  0.297469]
87,[-2.3036046  1.9229967  2.0072533  0.8325766  2.04705    0.0419837 -0.1601429],[ 0.597757 -0.276701  0.297467]
88,[-2.3036819  1.9230009  2.0072519  0.8325754  2.047091   0.0419941 -0.160211 ],[ 0.597755 -0.276696  0.297466]
89,[-2.3036204  1.9229749  2.0073227  0.8325883  2.0470748  0.042006  -0.1602278],[ 0.597752 -0.276683  0.297459]
90,[-2.3036676  1.9230117  2.0073057  0.8325692  2.0470955  0.0419379 -0.1601824],[ 0.597752 -0.276687  0.297459]
91,[-2.303669   1.9230452  2.0072862  0.8325327  2.0470564  0.0419701 -0.1601867],[ 0.597759 -0.276702  0.297466]
92,[-2.3036206  1.923024   2.0072814  0.8325767  2.0470753  0.0418883 -0.1602169],[ 0.597762 -0.276704  0.297467]
93,[-2.3036926  1.9230373  2.0072685  0.8325125  2.0471072  0.0419617 -0.1601353],[ 0.597763 -0.276704  0.297468]
94,[-2.3036192  1.9230636  2.0072702  0.832576   2.0471186  0.0420326 -0.1601786],[ 0.597758 -0.276697  0.297461]
95,[-2.3036602  1.923002   2.0073391  0.8325763  2.0471008  0.0419984 -0.1601702],[ 0.597756 -0.276696  0.297461]
96,[-2.3036638  1.9229912  2.0073634  0.8325903  2.0471036  0.0419962 -0.1601943],[ 0.597755 -0.276694  0.29746 ]
97,[-2.3036475  1.9230372  2.0073036  0.8325345  2.0471144  0.0420026 -0.1602227],[ 0.597756 -0.276694  0.297452]
98,[-2.3036728  1.9230572  2.0073003  0.8326057  2.0470219  0.041966  -0.1601521],[ 0.597757 -0.276694  0.297457]
99,[-2.3036661  1.9230365  2.0072755  0.8325402  2.0470772  0.0420072 -0.1601291],[ 0.597758 -0.276692  0.297458]
100,[-2.3036568  1.9230531  2.0072614  0.8325997  2.0470459  0.0419479 -0.160179 ],[ 0.597766 -0.276697  0.297462]
101,[-2.303694   1.9230041  2.0072631  0.8325706  2.0471363  0.0419583 -0.1601809],[ 0.597769 -0.276693  0.297466]
102,[-2.3036497  1.9230248  2.0073117  0.832542   2.0470855  0.0419434 -0.1601994],[ 0.597764 -0.276673  0.297469]
103,[-2.3036638  1.9230383  2.0072731  0.8325329  2.047076   0.0419895 -0.1602112],[ 0.597764 -0.276666  0.297475]
104,[-2.3036042  1.9230608  2.0072178  0.8325429  2.0470853  0.0419966 -0.1601988],[ 0.597757 -0.276662  0.297484]
105,[-2.303706   1.9230034  2.0073208  0.8325379  2.0471234  0.0419592 -0.1601166],[ 0.597742 -0.276642  0.29748 ]
106,[-2.3036461  1.9229923  2.007341   0.8325485  2.0470974  0.041935  -0.1601586],[ 0.597742 -0.276643  0.297468]
107,[-2.3037029  1.9230437  2.0073165  0.8325396  2.0470674  0.0420049 -0.1602441],[ 0.597758 -0.276666  0.297452]
108,[-2.30367    1.9229914  2.00732    0.8325177  2.0469878  0.0419509 -0.1601689],[ 0.59776  -0.276668  0.297451]
109,[-2.3036716  1.9229449  2.0072502  0.8322765  2.0460908  0.4057257 -0.1601354],[ 0.598062 -0.326252  0.283093]
110,[-2.3036096  1.922898   2.0073522  0.8321951  2.0460985  0.4057491 -0.1601962],[ 0.598063 -0.326253  0.283097]
111,[-2.3036073  1.9229314  2.0073763  0.8322468  2.0460989  0.405709  -0.1601436],[ 0.598067 -0.326247  0.283097]
112,[-2.3036385  1.9228864  2.0073486  0.8322618  2.0461452  0.4057675 -0.1601363],[ 0.598066 -0.326242  0.283099]
113,[-2.303638   1.9228988  2.0073842  0.8322968  2.0461113  0.4057175 -0.1601193],[ 0.598067 -0.32624   0.283092]
114,[-2.3036368  1.9229657  2.0073599  0.832254   2.0460968  0.4057887 -0.1601746],[ 0.598068 -0.326241  0.283096]
115,[-2.3036275  1.9228689  2.007311   0.832302   2.0461345  0.4056713 -0.1601839],[ 0.598067 -0.326243  0.2831  ]
116,[-2.3036261  1.9229168  2.0073577  0.8322273  2.0460977  0.4057281 -0.1601874],[ 0.598065 -0.326246  0.283099]
117,[-2.303592   1.9228642  2.0074116  0.8322736  2.046184   0.4057394 -0.1601553],[ 0.598061 -0.326239  0.283095]
118,[-2.3035937  1.9228741  2.0073928  0.8322319  2.0461025  0.4057609 -0.1601893],[ 0.598063 -0.326245  0.28309 ]
119,[-2.3036351  1.9228625  2.0074364  0.8322174  2.0461397  0.4057371 -0.1602141],[ 0.598066 -0.326253  0.283103]
120,[-2.3036287  1.9228629  2.0073453  0.8322707  2.0461776  0.4057456 -0.1601675],[ 0.598064 -0.326253  0.283102]
121,[-2.3036411  1.9229739  2.0074071  0.8322746  2.0461414  0.4057189 -0.1601853],[ 0.598057 -0.326241  0.283095]
122,[-2.3036204  1.9229242  2.007367   0.8322385  2.0460958  0.4057459 -0.1601525],[ 0.598059 -0.326237  0.283093]
123,[-2.3036502  1.922854   2.007321   0.8322227  2.0461221  0.4057513 -0.1601682],[ 0.598067 -0.326248  0.283088]
124,[-2.3036192  1.9229085  2.0073539  0.8322962  2.0460672  0.4057212 -0.1601216],[ 0.598072 -0.326251  0.283093]
125,[-2.3036332  1.922964   2.0073546  0.8323115  2.0461643  0.4057786 -0.1601667],[ 0.598071 -0.326253  0.283108]
126,[-2.3036149  1.9228723  2.0074013  0.8322287  2.0460605  0.4056913 -0.1602164],[ 0.59807  -0.326252  0.283109]
127,[-2.3036638  1.9229035  2.0073718  0.8323087  2.0461128  0.4057751 -0.160186 ],[ 0.59806  -0.326236  0.283093]
128,[-2.3036893  1.9229402  2.0073141  0.8322484  2.0460968  0.4056806 -0.1602029],[ 0.598058 -0.326239  0.283086]
129,[-2.3036762  1.9229289  2.0073949  0.8322802  2.0461392  0.4056859 -0.1601711],[ 0.598062 -0.326249  0.283092]
130,[-2.3035758  1.922916   2.0073749  0.8322739  2.0460958  0.4057579 -0.1601436],[ 0.598064 -0.326252  0.283092]
131,[-2.3036104  1.9229502  2.0073701  0.8323244  2.0460801  0.4057624 -0.1602334],[ 0.598062 -0.326246  0.283103]
132,[-2.3036194  1.9228603  2.0073348  0.8322575  2.0461452  0.4057127 -0.1601906],[ 0.598059 -0.326243  0.283105]
133,[-2.3036547  1.9229161  2.0073744  0.8322692  2.0461552  0.4057168 -0.1601722],[ 0.598059 -0.326244  0.283091]
134,[-2.3036435  1.9228737  2.0073866  0.8322849  2.0461175  0.4057378 -0.1601683],[ 0.598059 -0.326242  0.283094]
135,[-2.3036447  1.9228608  2.007388   0.8322839  2.046149   0.405698  -0.1601666],[ 0.598066 -0.326248  0.283095]
136,[-2.3036444  1.9229069  2.0073804  0.8322733  2.0461309  0.4056879 -0.1601776],[ 0.598068 -0.326247  0.283096]
137,[-2.3036371  1.9229005  2.007367   0.8322325  2.0461602  0.4057235 -0.1601153],[ 0.59807  -0.326247  0.283104]
138,[-2.303638   1.9228709  2.0073949  0.8322411  2.046045   0.4057117 -0.1601883],[ 0.598069 -0.326247  0.283104]
139,[-2.3036149  1.9228779  2.0073296  0.8323344  2.0461497  0.4057835 -0.16017  ],[ 0.598068 -0.326247  0.283101]
140,[-2.3036673  1.9229567  2.0074505  0.8323211  2.0460913  0.4057557 -0.1602031],[ 0.598068 -0.326247  0.283099]
141,[-2.3036514  1.9229061  2.007363   0.8322335  2.0461142  0.4056951 -0.1601473],[ 0.59806  -0.326248  0.283098]
142,[-2.3036247  1.9228886  2.007373   0.8321886  2.0461318  0.4057441 -0.1601548],[ 0.598056 -0.326231  0.28309 ]
