id,joint_position,m6
49,[-2.7831676  1.2842334  1.6743225  0.3250953  0.5762296  0.246672  -0.310178 ],[-0.513753  0.352871  0.066932]
50,[-2.7865245  1.2777332  1.6703362  0.3338417  0.571579   0.2534153 -0.3105708],[-0.516181  0.352757  0.065572]
51,[-2.7890215  1.2736419  1.6680299  0.3404245  0.5663052  0.258276  -0.3108137],[-0.517182  0.352695  0.06497 ]
52,[-2.7967381  1.2636226  1.6635668  0.3608136  0.5446515  0.2714066 -0.3130916],[-0.519922  0.351552  0.063246]
53,[-2.7982817  1.2615016  1.6623921  0.3632093  0.5411973  0.2743657 -0.3138732],[-0.520199  0.351494  0.062775]
54,[-2.8016047  1.256779   1.6589332  0.3652771  0.5357413  0.279134  -0.315565 ],[-0.521004  0.352035  0.061052]
55,[-2.8051176  1.2520183  1.6553388  0.3664525  0.5318298  0.2836706 -0.3173822],[-0.521508  0.352761  0.059903]
56,[-2.8148975  1.2392829  1.6452172  0.3693929  0.5194407  0.2960247 -0.3245446],[-0.5234    0.355197  0.056384]
57,[-2.8188798  1.2338851  1.6405828  0.3701198  0.5124669  0.2998593 -0.3293577],[-0.524371  0.356277  0.054811]
58,[-2.8252501  1.2259715  1.6334547  0.3713604  0.4988861  0.3037323 -0.3511706],[-0.525356  0.357082  0.053565]
59,[-2.8310599  1.2190364  1.6269946  0.3718845  0.4871039  0.3085251 -0.3668209],[-0.526259  0.358263  0.051983]
60,[-2.8329582  1.2173465  1.6255434  0.3719651  0.4854751  0.3102869 -0.3693026],[-0.526438  0.358755  0.051482]
61,[-2.8347318  1.2158549  1.6243691  0.3722319  0.4846597  0.312116  -0.3711192],[-0.526743  0.359303  0.051127]
62,[-2.8396962  1.2119926  1.6215519  0.3736901  0.4843178  0.3158958 -0.376344 ],[-0.527898  0.361975  0.049697]
63,[-2.8428257  1.209925   1.6199659  0.3753298  0.4834466  0.3186383 -0.3848958],[-0.528579  0.36317   0.04921 ]
64,[-2.8481665  1.2071155  1.6176121  0.3793313  0.481009   0.3246025 -0.4076805],[-0.529899  0.365466  0.048451]
65,[-2.8492522  1.2064708  1.617173   0.3806288  0.4801154  0.3261684 -0.4104725],[-0.530103  0.365858  0.04835 ]
66,[-2.8540258  1.2058776  1.6177537  0.3950497  0.4734273  0.3388124 -0.4193752],[-0.531271  0.366842  0.048242]
67,[-2.8572147  1.2061427  1.6199955  0.4124969  0.4684176  0.3511542 -0.4371372],[-0.532647  0.366703  0.048754]
68,[-2.8588231  1.206404   1.6217355  0.4244259  0.4689517  0.3557018 -0.4651445],[-0.534432  0.367011  0.049374]
69,[-2.8593373  1.2089675  1.6261141  0.435136   0.4729104  0.3556382 -0.4800962],[-0.536058  0.367602  0.050488]
70,[-2.8594038  1.2122234  1.630445   0.4439513  0.4739809  0.355647  -0.4963846],[-0.536961  0.367558  0.051874]
71,[-2.8593419  1.2135947  1.6320373  0.4474488  0.4739962  0.3556094 -0.4989881],[-0.537179  0.367468  0.052294]
72,[-2.859391   1.2149814  1.6337876  0.4503961  0.4743829  0.3554102 -0.499988 ],[-0.537383  0.367442  0.052779]
73,[-2.8591688  1.2228282  1.6420186  0.4607649  0.4805727  0.3543026 -0.5018233],[-0.538108  0.367819  0.055329]
74,[-2.85918    1.230078   1.6468364  0.4624771  0.4853039  0.3490487 -0.5021271],[-0.538331  0.368907  0.057991]
75,[-2.8592391  1.2310661  1.6467837  0.4616351  0.4845085  0.3468625 -0.5020807],[-0.538323  0.368954  0.058574]
76,[-2.8596087  1.2338775  1.6452765  0.4546875  0.4854393  0.3365406 -0.5020492],[-0.538995  0.369622  0.061436]
77,[-2.8601804  1.2346709  1.6404712  0.4462883  0.4896469  0.3224236 -0.5014914],[-0.540933  0.370906  0.064312]
78,[-2.8604355  1.2346404  1.6387651  0.4439468  0.4906917  0.3182426 -0.5010669],[-0.541533  0.371177  0.064834]
79,[-2.8604562  1.2344573  1.6369137  0.4417016  0.4916735  0.3143549 -0.500715 ],[-0.542018  0.371413  0.065352]
80,[-2.8607891  1.2336276  1.6307786  0.4347698  0.4944782  0.302619  -0.4991783],[-0.544487  0.372324  0.067584]
81,[-2.8610878  1.2333568  1.6286823  0.4326313  0.4956331  0.2990263 -0.498637 ],[-0.545118  0.372537  0.068247]
82,[-2.8615017  1.2330669  1.6227546  0.4270406  0.4976182  0.2874251 -0.4968035],[-0.547693  0.373254  0.07131 ]
83,[-2.8621111  1.2330707  1.6187398  0.4239424  0.4975739  0.2811083 -0.4959731],[-0.54892   0.373456  0.072967]
84,[-2.863395   1.2332214  1.6086743  0.4155561  0.4954467  0.269677  -0.4943641],[-0.551734  0.373673  0.077725]
85,[-2.8638396  1.2332214  1.6058593  0.4130702  0.4945154  0.2664437 -0.4940145],[-0.552229  0.37369   0.078699]
86,[-2.8664582  1.2333491  1.5906951  0.4001095  0.4938178  0.2519557 -0.4914112],[-0.5562    0.374552  0.085204]
87,[-2.8682923  1.2330421  1.5795912  0.3893179  0.4930902  0.2391183 -0.4899479],[-0.55922  0.37563  0.09006]
88,[-2.8698146  1.232302   1.5711975  0.3797421  0.4935894  0.2285168 -0.4891017],[-0.560801  0.376469  0.092586]
89,[-2.8786418  1.2270282  1.5283502  0.3345361  0.4928608  0.1784259 -0.4842258],[-0.570648  0.381706  0.108264]
90,[-2.8823791  1.2228435  1.5090292  0.3125329  0.4934044  0.1601225 -0.481585 ],[-0.574406  0.384304  0.113704]
